drugA,drugB,cell_line,synergy
5-FU,BEZ-235,HT29,11.8958027211
5-FU,BEZ-235,KPL1,16.462849087
5-FU,BEZ-235,LNCAP,55.291299337
5-FU,BEZ-235,LOVO,0.0497243445
5-FU,BEZ-235,MDAMB436,18.9742923554
5-FU,BEZ-235,NCIH1650,17.6381552118
5-FU,BEZ-235,NCIH2122,7.6972734841
5-FU,BEZ-235,NCIH23,4.9902197108
5-FU,BEZ-235,NCIH460,20.1004137353
5-FU,BEZ-235,NCIH520,16.7217972261
5-FU,BEZ-235,OV90,17.5470785652
5-FU,BEZ-235,OVCAR3,17.1196123484
5-FU,BEZ-235,RKO,16.9360013477
5-FU,BEZ-235,RPMI7951,12.7059498499
5-FU,BEZ-235,SKMEL30,-73.1384016545
5-FU,BEZ-235,SKMES1,21.2679035017
5-FU,BEZ-235,SKOV3,4.2458790789
5-FU,BEZ-235,SW620,12.0285902424
5-FU,BEZ-235,SW837,5.5145107479
5-FU,BEZ-235,T47D,106.0071923778
5-FU,BEZ-235,UACC62,7.9318775251
5-FU,BEZ-235,VCAP,11.7574248227
5-FU,BEZ-235,ZR751,7.0759828056
5-FU,BORTEZOMIB,A2058,-5.2398784479
5-FU,BORTEZOMIB,A2780,-18.599126219
5-FU,BORTEZOMIB,A375,-2.4053347825
5-FU,BORTEZOMIB,CAOV3,-35.2730418424
5-FU,BORTEZOMIB,ES2,-16.1301253292
5-FU,BORTEZOMIB,HCT116,-4.5192694496
5-FU,BORTEZOMIB,HT144,-14.5697825802
5-FU,BORTEZOMIB,HT29,-15.9516134706
5-FU,BORTEZOMIB,KPL1,-2.9975327263
5-FU,BORTEZOMIB,LNCAP,-1.8552324806
5-FU,BORTEZOMIB,LOVO,-6.1759820093
5-FU,BORTEZOMIB,MDAMB436,-2.0255657606
5-FU,BORTEZOMIB,NCIH1650,-15.7787056902
5-FU,BORTEZOMIB,NCIH2122,-16.6962656751
5-FU,BORTEZOMIB,NCIH23,-9.1909645858
5-FU,BORTEZOMIB,NCIH460,-18.9981302614
5-FU,BORTEZOMIB,NCIH520,-24.0675509099
5-FU,BORTEZOMIB,OV90,-9.5861668687
5-FU,BORTEZOMIB,OVCAR3,-9.8950364655
5-FU,BORTEZOMIB,RKO,2.9072006684
5-FU,BORTEZOMIB,RPMI7951,-10.4794143941
5-FU,BORTEZOMIB,SKMEL30,-172.8887020908
5-FU,BORTEZOMIB,SKMES1,-11.6427298467
5-FU,BORTEZOMIB,SKOV3,-4.6048936233
5-FU,BORTEZOMIB,SW620,-1.9079668183
5-FU,BORTEZOMIB,SW837,-1.3618595002
5-FU,BORTEZOMIB,T47D,2.7487911814
5-FU,BORTEZOMIB,UACC62,-17.8418510777
5-FU,BORTEZOMIB,VCAP,-7.0535106309
5-FU,BORTEZOMIB,ZR751,-17.4513752727
5-FU,DASATINIB,A2058,31.1256441825
5-FU,DASATINIB,A2780,50.6036602621
5-FU,DASATINIB,A375,2.6836891586
5-FU,DASATINIB,CAOV3,17.8798317329
5-FU,DASATINIB,ES2,17.6901953531
5-FU,DASATINIB,HCT116,-7.8192717861
5-FU,DASATINIB,HT144,-22.9732781184
5-FU,DASATINIB,HT29,17.0669807634
5-FU,DASATINIB,KPL1,3.4468119113
5-FU,DASATINIB,LNCAP,0.2425073658
5-FU,DASATINIB,LOVO,21.3855881893
5-FU,DASATINIB,MDAMB436,18.7186968772
5-FU,DASATINIB,NCIH1650,23.2349707101
5-FU,DASATINIB,NCIH2122,-31.1947195955
5-FU,DASATINIB,NCIH23,11.5591467519
5-FU,DASATINIB,NCIH460,21.6687261012
5-FU,DASATINIB,NCIH520,42.7350514418
5-FU,DASATINIB,OV90,0.4330347743
5-FU,DASATINIB,OVCAR3,57.0331471062
5-FU,DASATINIB,RKO,17.3116328276
5-FU,DASATINIB,RPMI7951,19.0635510285
5-FU,DASATINIB,SKMEL30,-4.6186948142
5-FU,DASATINIB,SKMES1,2.9818204918
5-FU,DASATINIB,SKOV3,1.3046560675
5-FU,DASATINIB,SW620,30.4446308353
5-FU,DASATINIB,SW837,15.8773368915
5-FU,DASATINIB,T47D,18.8656014132
5-FU,DASATINIB,UACC62,12.1239603389
5-FU,DASATINIB,VCAP,21.455726442
5-FU,DASATINIB,ZR751,5.1142794332
5-FU,DINACICLIB,A2058,4.3316952071
5-FU,DINACICLIB,A2780,-8.1611286386
5-FU,DINACICLIB,A375,-5.4159342011
5-FU,DINACICLIB,CAOV3,-14.3474258909
5-FU,DINACICLIB,ES2,3.4071845582
5-FU,DINACICLIB,HCT116,2.9189014698
5-FU,DINACICLIB,HT144,-3.4774222173
5-FU,DINACICLIB,HT29,-2.5394087442
5-FU,DINACICLIB,KPL1,0.007355464
5-FU,DINACICLIB,LNCAP,-0.8480444662
5-FU,DINACICLIB,LOVO,-11.8769599262
5-FU,DINACICLIB,MDAMB436,5.3475341198
5-FU,DINACICLIB,NCIH1650,-2.1132235055
5-FU,DINACICLIB,NCIH2122,1.2187131729
5-FU,DINACICLIB,NCIH23,-9.5337022995
5-FU,DINACICLIB,NCIH460,-7.4209805584
5-FU,DINACICLIB,NCIH520,-4.3210485458
5-FU,DINACICLIB,OV90,-5.9355790617
5-FU,DINACICLIB,OVCAR3,2.7064693261
5-FU,DINACICLIB,RKO,5.6238194396
5-FU,DINACICLIB,RPMI7951,-5.6869902395
5-FU,DINACICLIB,SKMEL30,-96.6171400256
5-FU,DINACICLIB,SKMES1,-3.1403413007
5-FU,DINACICLIB,SKOV3,-13.8991015225
5-FU,DINACICLIB,SW620,-4.5680713977
5-FU,DINACICLIB,SW837,-19.5733229304
5-FU,DINACICLIB,T47D,-2.721986339
5-FU,DINACICLIB,UACC62,3.6825732484
5-FU,DINACICLIB,VCAP,14.4219939992
5-FU,DINACICLIB,ZR751,-13.5823901433
5-FU,ERLOTINIB,A2058,9.6942857549
5-FU,ERLOTINIB,A2780,16.5693311017
5-FU,ERLOTINIB,A375,13.9643924282
5-FU,ERLOTINIB,CAOV3,-7.9516351685
5-FU,ERLOTINIB,ES2,15.1231624969
5-FU,ERLOTINIB,HCT116,14.4529779349
5-FU,ERLOTINIB,HT144,9.5594532711
5-FU,ERLOTINIB,HT29,11.3374716212
5-FU,ERLOTINIB,KPL1,-3.0152734579
5-FU,ERLOTINIB,LNCAP,-6.9843951948
5-FU,ERLOTINIB,LOVO,12.4173316831
5-FU,ERLOTINIB,MDAMB436,16.1498978974
5-FU,ERLOTINIB,NCIH1650,0.9247862496
5-FU,ERLOTINIB,NCIH2122,24.4549768299
5-FU,ERLOTINIB,NCIH23,6.3734101396
5-FU,ERLOTINIB,NCIH460,17.2248469758
5-FU,ERLOTINIB,NCIH520,7.2357581991
5-FU,ERLOTINIB,OV90,-11.0400458463
5-FU,ERLOTINIB,OVCAR3,29.2012558541
5-FU,ERLOTINIB,RKO,20.9875725757
5-FU,ERLOTINIB,RPMI7951,17.0048417484
5-FU,ERLOTINIB,SKMEL30,13.9548838605
5-FU,ERLOTINIB,SKMES1,21.2894247643
5-FU,ERLOTINIB,SKOV3,16.2106176273
5-FU,ERLOTINIB,SW620,0.4948904511
5-FU,ERLOTINIB,SW837,17.2993876184
5-FU,ERLOTINIB,T47D,-3.0497103681
5-FU,ERLOTINIB,UACC62,17.9689860115
5-FU,ERLOTINIB,VCAP,24.4137931368
5-FU,ERLOTINIB,ZR751,22.830617603
5-FU,GELDANAMYCIN,A2058,7.3767092383
5-FU,GELDANAMYCIN,A2780,0.9119639421
5-FU,GELDANAMYCIN,A375,7.160975098
5-FU,GELDANAMYCIN,CAOV3,-12.9867067055
5-FU,GELDANAMYCIN,ES2,-5.2570249896
5-FU,GELDANAMYCIN,HCT116,2.9166634421
5-FU,GELDANAMYCIN,HT144,5.3722158879
5-FU,GELDANAMYCIN,HT29,-3.9460712694
5-FU,GELDANAMYCIN,KPL1,2.3305768406
5-FU,GELDANAMYCIN,LNCAP,16.3096388084
5-FU,GELDANAMYCIN,LOVO,-6.3531366592
5-FU,GELDANAMYCIN,MDAMB436,5.7991052293
5-FU,GELDANAMYCIN,NCIH1650,-6.7522693832
5-FU,GELDANAMYCIN,NCIH2122,-2.6927348532
5-FU,GELDANAMYCIN,NCIH23,-9.33481084
5-FU,GELDANAMYCIN,NCIH460,-2.4468045136
5-FU,GELDANAMYCIN,NCIH520,3.5130376786
5-FU,GELDANAMYCIN,OV90,0.2845088978
5-FU,GELDANAMYCIN,OVCAR3,-8.8404468247
5-FU,GELDANAMYCIN,RKO,5.2461803983
5-FU,GELDANAMYCIN,RPMI7951,-8.0842471839
5-FU,GELDANAMYCIN,SKMEL30,-80.6389686735
5-FU,GELDANAMYCIN,SKMES1,2.7036052766
5-FU,GELDANAMYCIN,SKOV3,-9.1881641947
5-FU,GELDANAMYCIN,SW620,-2.851271236
5-FU,GELDANAMYCIN,SW837,-10.0141809923
5-FU,GELDANAMYCIN,T47D,30.6799944126
5-FU,GELDANAMYCIN,UACC62,-1.3454010107
5-FU,GELDANAMYCIN,VCAP,14.0445192166
5-FU,GELDANAMYCIN,ZR751,-15.0092845632
5-FU,L778123,A2058,9.7282647976
5-FU,L778123,A2780,8.7866069583
5-FU,L778123,A375,7.6329436579
5-FU,L778123,CAOV3,-11.2445613151
5-FU,L778123,ES2,10.1135073338
5-FU,L778123,HCT116,11.7123653003
5-FU,L778123,HT144,0.1977536279
5-FU,L778123,HT29,17.5439742462
5-FU,L778123,KPL1,2.4967327943
5-FU,L778123,LNCAP,5.0386480378
5-FU,L778123,LOVO,3.0950710355
5-FU,L778123,MDAMB436,6.6049127114
5-FU,L778123,NCIH1650,12.2198248938
5-FU,L778123,NCIH2122,1.4919157638
5-FU,L778123,NCIH23,4.785807361
5-FU,L778123,NCIH460,-0.5617591171
5-FU,L778123,NCIH520,13.7782050736
5-FU,L778123,OV90,12.2053451012
5-FU,L778123,OVCAR3,3.6025835235
5-FU,L778123,RKO,4.7786590771
5-FU,L778123,RPMI7951,0.7730436273
5-FU,L778123,SKMEL30,-57.88453337
5-FU,L778123,SKMES1,6.0790006726
5-FU,L778123,SKOV3,8.1306805695
5-FU,L778123,SW620,4.8157967021
5-FU,L778123,SW837,-4.4571313729
5-FU,L778123,T47D,21.1587573317
5-FU,L778123,UACC62,6.8179162039
5-FU,L778123,VCAP,12.7404294136
5-FU,L778123,ZR751,8.1204864896
5-FU,LAPATINIB,A2058,9.1921381489
5-FU,LAPATINIB,A2780,8.0111248094
5-FU,LAPATINIB,A375,7.497787303
5-FU,LAPATINIB,CAOV3,-6.7775280299
5-FU,LAPATINIB,ES2,5.344512472
5-FU,LAPATINIB,HCT116,9.6880383892
5-FU,LAPATINIB,HT144,4.6705749923
5-FU,LAPATINIB,HT29,4.5330856346
5-FU,LAPATINIB,KPL1,-9.537311313
5-FU,LAPATINIB,LNCAP,-16.3764972151
5-FU,LAPATINIB,LOVO,17.4905864006
5-FU,LAPATINIB,MDAMB436,3.6446355785
5-FU,LAPATINIB,NCIH1650,0.9058173714
5-FU,LAPATINIB,NCIH2122,9.9561959778
5-FU,LAPATINIB,NCIH23,-8.7347995249
5-FU,LAPATINIB,NCIH460,-2.0350125809
5-FU,LAPATINIB,NCIH520,-7.2635219081
5-FU,LAPATINIB,OV90,-9.2950702543
5-FU,LAPATINIB,OVCAR3,18.0118570501
5-FU,LAPATINIB,RKO,11.5445360217
5-FU,LAPATINIB,RPMI7951,3.3187648663
5-FU,LAPATINIB,SKMEL30,9.4835037451
5-FU,LAPATINIB,SKMES1,11.0596410178
5-FU,LAPATINIB,SKOV3,7.1187837793
5-FU,LAPATINIB,SW620,-2.41819166
5-FU,LAPATINIB,SW837,6.956325429
5-FU,LAPATINIB,T47D,14.9092827837
5-FU,LAPATINIB,UACC62,9.1199463026
5-FU,LAPATINIB,VCAP,10.6325581361
5-FU,LAPATINIB,ZR751,14.6763066586
5-FU,MK-2206,A2058,15.9003975952
5-FU,MK-2206,A2780,18.6562125215
5-FU,MK-2206,A375,1.4627542044
5-FU,MK-2206,CAOV3,41.0691417805
5-FU,MK-2206,ES2,0.2083795553
5-FU,MK-2206,HCT116,4.1234224097
5-FU,MK-2206,HT144,2.0214349365
5-FU,MK-2206,HT29,15.704505817
5-FU,MK-2206,KPL1,26.8647753536
5-FU,MK-2206,LNCAP,8.3059919541
5-FU,MK-2206,LOVO,0.8485305444
5-FU,MK-2206,MDAMB436,11.6053738313
5-FU,MK-2206,NCIH1650,12.9608908226
5-FU,MK-2206,NCIH2122,14.5182360522
5-FU,MK-2206,NCIH23,3.9299038906
5-FU,MK-2206,NCIH460,16.5835935756
5-FU,MK-2206,NCIH520,12.9538647031
5-FU,MK-2206,OV90,6.2058353259
5-FU,MK-2206,OVCAR3,16.3679150898
5-FU,MK-2206,RKO,21.9986829902
5-FU,MK-2206,RPMI7951,13.7924902162
5-FU,MK-2206,SKMEL30,9.528004578
5-FU,MK-2206,SKMES1,18.5031612926
5-FU,MK-2206,SKOV3,12.725931577
5-FU,MK-2206,SW620,12.5554878104
5-FU,MK-2206,SW837,5.1723316978
5-FU,MK-2206,T47D,5.9686104256
5-FU,MK-2206,UACC62,16.6719027294
5-FU,MK-2206,VCAP,8.8828429883
5-FU,MK-2206,ZR751,11.5602363877
5-FU,MK-4827,A2058,6.7380597244
5-FU,MK-4827,A2780,9.9200924223
5-FU,MK-4827,A375,-2.1913568907
5-FU,MK-4827,CAOV3,-3.7460101438
5-FU,MK-4827,ES2,-4.0814869489
5-FU,MK-4827,HCT116,8.0324018449
5-FU,MK-4827,HT144,-2.5727064212
5-FU,MK-4827,HT29,3.2803166061
5-FU,MK-4827,KPL1,-3.7239969705
5-FU,MK-4827,LNCAP,-24.4814918995
5-FU,MK-4827,LOVO,-14.5737162026
5-FU,MK-4827,MDAMB436,2.5650627877
5-FU,MK-4827,NCIH1650,-9.2480173289
5-FU,MK-4827,NCIH2122,1.8558659516
5-FU,MK-4827,NCIH23,-10.5263423251
5-FU,MK-4827,NCIH460,-2.8604770301
5-FU,MK-4827,NCIH520,4.4514426938
5-FU,MK-4827,OV90,-11.575963303
5-FU,MK-4827,OVCAR3,-1.8376363782
5-FU,MK-4827,RKO,-0.3218696371
5-FU,MK-4827,RPMI7951,1.7688753557
5-FU,MK-4827,SKMEL30,3.7669646714
5-FU,MK-4827,SKMES1,0.7304384282
5-FU,MK-4827,SKOV3,-0.0609455568
5-FU,MK-4827,SW620,4.2713930567
5-FU,MK-4827,SW837,-12.7245151344
5-FU,MK-4827,T47D,-9.8818158289
5-FU,MK-4827,UACC62,1.3318645202
5-FU,MK-4827,VCAP,10.9885790618
5-FU,MK-4827,ZR751,3.1821546666
5-FU,MK-5108,A2058,1.8048954561
5-FU,MK-5108,A2780,9.2608129746
5-FU,MK-5108,A375,8.9984383656
5-FU,MK-5108,CAOV3,-13.041340691
5-FU,MK-5108,ES2,3.5129827459
5-FU,MK-5108,HCT116,16.5701564393
5-FU,MK-5108,HT144,0.7960237066
5-FU,MK-5108,HT29,12.4304918803
5-FU,MK-5108,KPL1,3.7195503932
5-FU,MK-5108,LNCAP,-20.6434715032
5-FU,MK-5108,LOVO,0.9569595237
5-FU,MK-5108,MDAMB436,2.8172121104
5-FU,MK-5108,NCIH1650,-0.6599837702
5-FU,MK-5108,NCIH2122,-1.7886402574
5-FU,MK-5108,NCIH23,-2.7746186765
5-FU,MK-5108,NCIH460,-5.6594807782
5-FU,MK-5108,NCIH520,2.7796403404
5-FU,MK-5108,OV90,0.7102572606
5-FU,MK-5108,OVCAR3,10.0174393355
5-FU,MK-5108,RKO,-2.4180318894
5-FU,MK-5108,RPMI7951,4.4237664099
5-FU,MK-5108,SKMEL30,14.8385714465
5-FU,MK-5108,SKMES1,-2.969522572
5-FU,MK-5108,SKOV3,8.1828554544
5-FU,MK-5108,SW620,4.1982352116
5-FU,MK-5108,SW837,-3.1947088918
5-FU,MK-5108,T47D,4.9294221133
5-FU,MK-5108,UACC62,8.1866547691
5-FU,MK-5108,VCAP,11.649741335
5-FU,MK-5108,ZR751,0.8270235376
5-FU,MK-8669,A2058,32.336231656
5-FU,MK-8669,A2780,16.2953130836
5-FU,MK-8669,A375,12.7627595038
5-FU,MK-8669,CAOV3,8.763442761
5-FU,MK-8669,ES2,15.7050804162
5-FU,MK-8669,HCT116,2.5493305703
5-FU,MK-8669,HT144,4.9157412874
5-FU,MK-8669,HT29,11.8105759879
5-FU,MK-8669,KPL1,11.1882098652
5-FU,MK-8669,LNCAP,15.9940932912
5-FU,MK-8669,LOVO,6.8775912152
5-FU,MK-8669,MDAMB436,17.4363297943
5-FU,MK-8669,NCIH1650,15.8598946229
5-FU,MK-8669,NCIH2122,10.3041819135
5-FU,MK-8669,NCIH23,21.7378102867
5-FU,MK-8669,NCIH460,5.0187908405
5-FU,MK-8669,NCIH520,8.1541053655
5-FU,MK-8669,OV90,9.5625919221
5-FU,MK-8669,OVCAR3,6.7256438694
5-FU,MK-8669,RKO,23.2541342238
5-FU,MK-8669,RPMI7951,27.3312274488
5-FU,MK-8669,SKMEL30,28.1921047119
5-FU,MK-8669,SKMES1,8.5169054379
5-FU,MK-8669,SKOV3,28.7151483289
5-FU,MK-8669,SW620,12.1373778076
5-FU,MK-8669,SW837,12.4165920546
5-FU,MK-8669,T47D,24.178581994
5-FU,MK-8669,UACC62,12.1256517911
5-FU,MK-8669,VCAP,29.6719018896
5-FU,MK-8669,ZR751,10.3250317023
5-FU,MK-8776,A2058,23.5227129994
5-FU,MK-8776,A2780,9.9663216014
5-FU,MK-8776,A375,22.097336411649998
5-FU,MK-8776,CAOV3,57.10355598195
5-FU,MK-8776,ES2,-10.662338489349999
5-FU,MK-8776,HCT116,14.95230706505
5-FU,MK-8776,HT144,3.3707291943
5-FU,MK-8776,HT29,13.4315421383
5-FU,MK-8776,KPL1,-1.2087696449
5-FU,MK-8776,LNCAP,3.6928639136
5-FU,MK-8776,LOVO,3.6292724001
5-FU,MK-8776,MDAMB436,43.3548506205
5-FU,MK-8776,NCIH1650,14.0408932059
5-FU,MK-8776,NCIH2122,12.638475783999999
5-FU,MK-8776,NCIH23,1.4560805635
5-FU,MK-8776,NCIH460,24.8460568521
5-FU,MK-8776,NCIH520,18.3059071731
5-FU,MK-8776,OV90,3.1552001791
5-FU,MK-8776,OVCAR3,10.1051317429
5-FU,MK-8776,RKO,18.4228588221
5-FU,MK-8776,RPMI7951,4.9236207844
5-FU,MK-8776,SKMEL30,-81.4412836641
5-FU,MK-8776,SKMES1,16.9849025523
5-FU,MK-8776,SKOV3,5.559655014
5-FU,MK-8776,SW620,7.248509939150001
5-FU,MK-8776,SW837,-20.5265828587
5-FU,MK-8776,T47D,2.4581985545
5-FU,MK-8776,UACC62,6.6260817062
5-FU,MK-8776,VCAP,10.868914741
5-FU,MK-8776,ZR751,-0.4083073108
5-FU,PD325901,A2058,2.2648345474
5-FU,PD325901,A2780,24.6101491603
5-FU,PD325901,A375,-1.7928723117
5-FU,PD325901,CAOV3,-1.1278026191
5-FU,PD325901,ES2,2.8147383704
5-FU,PD325901,HCT116,18.3212116826
5-FU,PD325901,HT144,9.118873978
5-FU,PD325901,HT29,3.1505895344
5-FU,PD325901,KPL1,-6.3450322174
5-FU,PD325901,LNCAP,1.6456703382
5-FU,PD325901,LOVO,-6.2451950857
5-FU,PD325901,MDAMB436,9.3580687088
5-FU,PD325901,NCIH1650,4.3253730787
5-FU,PD325901,NCIH2122,3.0974502827
5-FU,PD325901,NCIH23,4.2627084216
5-FU,PD325901,NCIH460,16.3321845736
5-FU,PD325901,NCIH520,-1.1429154638
5-FU,PD325901,OV90,-6.5669900061
5-FU,PD325901,OVCAR3,24.6866031908
5-FU,PD325901,RKO,9.445147693
5-FU,PD325901,RPMI7951,0.6327841094
5-FU,PD325901,SKMEL30,-144.401654641
5-FU,PD325901,SKMES1,-5.4245533988
5-FU,PD325901,SKOV3,2.8529330664
5-FU,PD325901,SW620,2.3472546751
5-FU,PD325901,SW837,0.9460961282
5-FU,PD325901,T47D,46.9965795657
5-FU,PD325901,UACC62,-3.4432324072
5-FU,PD325901,VCAP,11.4350299448
5-FU,PD325901,ZR751,-7.0184742351
5-FU,SORAFENIB,A2058,1.4874561767
5-FU,SORAFENIB,A2780,2.0773183622
5-FU,SORAFENIB,A375,1.3124466837
5-FU,SORAFENIB,CAOV3,-16.6722034214
5-FU,SORAFENIB,ES2,0.126680077
5-FU,SORAFENIB,HCT116,-1.9550253911
5-FU,SORAFENIB,HT144,4.4595025987
5-FU,SORAFENIB,HT29,-3.5516108333
5-FU,SORAFENIB,KPL1,-5.0462835752
5-FU,SORAFENIB,LNCAP,-13.3903461522
5-FU,SORAFENIB,LOVO,-13.8153437725
5-FU,SORAFENIB,MDAMB436,-4.3043170757
5-FU,SORAFENIB,NCIH1650,-2.5001498348
5-FU,SORAFENIB,NCIH2122,-3.7688232307
5-FU,SORAFENIB,NCIH23,-1.2868109975
5-FU,SORAFENIB,NCIH460,-0.8956375394
5-FU,SORAFENIB,NCIH520,5.28680143
5-FU,SORAFENIB,OV90,2.4168372005
5-FU,SORAFENIB,OVCAR3,-18.315474213
5-FU,SORAFENIB,RKO,1.8835839134
5-FU,SORAFENIB,RPMI7951,-5.0414726511
5-FU,SORAFENIB,SKMEL30,2.1200282831
5-FU,SORAFENIB,SKMES1,0.2851544499
5-FU,SORAFENIB,SKOV3,10.236335902
5-FU,SORAFENIB,SW620,0.5741526967
5-FU,SORAFENIB,SW837,-8.6089625102
5-FU,SORAFENIB,T47D,-4.531377558
5-FU,SORAFENIB,UACC62,0.3264493142
5-FU,SORAFENIB,VCAP,1.4443077439
5-FU,SORAFENIB,ZR751,-11.3617926586
5-FU,SUNITINIB,A2058,9.6216201263
5-FU,SUNITINIB,A2780,9.7009863748
5-FU,SUNITINIB,A375,7.3510485969
5-FU,SUNITINIB,CAOV3,5.0921362527
5-FU,SUNITINIB,ES2,14.4138207528
5-FU,SUNITINIB,HCT116,7.3327834929
5-FU,SUNITINIB,HT144,4.6773891182
5-FU,SUNITINIB,HT29,3.3790463977
5-FU,SUNITINIB,KPL1,7.2294877967
5-FU,SUNITINIB,LNCAP,-6.2008373031
5-FU,SUNITINIB,LOVO,2.0823101764
5-FU,SUNITINIB,MDAMB436,5.2313892647
5-FU,SUNITINIB,NCIH1650,4.374037921
5-FU,SUNITINIB,NCIH2122,5.8386278754
5-FU,SUNITINIB,NCIH23,3.1416706675
5-FU,SUNITINIB,NCIH460,7.1293241074
5-FU,SUNITINIB,NCIH520,5.8103410824
5-FU,SUNITINIB,OV90,3.664358548
5-FU,SUNITINIB,OVCAR3,7.236478142
5-FU,SUNITINIB,RKO,7.9963551144
5-FU,SUNITINIB,RPMI7951,-1.3432610887
5-FU,SUNITINIB,SKMEL30,3.6671652339
5-FU,SUNITINIB,SKMES1,11.9026148133
5-FU,SUNITINIB,SKOV3,18.264384797
5-FU,SUNITINIB,SW620,6.8594980389
5-FU,SUNITINIB,SW837,-4.9018368368
5-FU,SUNITINIB,T47D,8.9411543323
5-FU,SUNITINIB,UACC62,8.7956874733
5-FU,SUNITINIB,VCAP,12.4837989607
5-FU,SUNITINIB,ZR751,6.1696274325
5-FU,TEMOZOLOMIDE,A2058,2.774368984
5-FU,TEMOZOLOMIDE,A2780,-0.6043528353
5-FU,TEMOZOLOMIDE,A375,-15.9833359407
5-FU,TEMOZOLOMIDE,CAOV3,-35.6606340737
5-FU,TEMOZOLOMIDE,ES2,3.4256071333
5-FU,TEMOZOLOMIDE,HCT116,-15.6630918406
5-FU,TEMOZOLOMIDE,HT144,-24.2865179978
5-FU,TEMOZOLOMIDE,HT29,-13.1781205798
5-FU,TEMOZOLOMIDE,KPL1,-32.0355147382
5-FU,TEMOZOLOMIDE,LNCAP,-16.1460863333
5-FU,TEMOZOLOMIDE,LOVO,-17.9661402898
5-FU,TEMOZOLOMIDE,MDAMB436,7.5465251368
5-FU,TEMOZOLOMIDE,NCIH1650,-16.1361150349
5-FU,TEMOZOLOMIDE,NCIH2122,-4.9764338356
5-FU,TEMOZOLOMIDE,NCIH23,-22.4185818942
5-FU,TEMOZOLOMIDE,NCIH460,-23.4110538092
5-FU,TEMOZOLOMIDE,NCIH520,2.0155138901
5-FU,TEMOZOLOMIDE,OV90,-8.7345776972
5-FU,TEMOZOLOMIDE,OVCAR3,4.2532574153
5-FU,TEMOZOLOMIDE,RKO,-9.3234303757
5-FU,TEMOZOLOMIDE,RPMI7951,0.4705453494
5-FU,TEMOZOLOMIDE,SKMEL30,-55.9657770968
5-FU,TEMOZOLOMIDE,SKMES1,5.0475400042
